127.0.0.1 - - [26/Jul/2020:19:56:15 -0500] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:16 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:17 -0500] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:17 -0500] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:19 -0500] "GET /manager/status HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:20 -0500] "GET /manager/status HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:21 -0500] "GET /manager/status HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:21 -0500] "GET /manager/status HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - - [26/Jul/2020:19:56:26 -0500] "GET / HTTP/1.1" 200 11415
